cause_bucket,movie_key,source_title,target_start_date,target_end_date,statuses,methods,notes,rows,article_title,article_url,raw_cache_path,sample_raw
colon_list_row_or_real_list_title,joblo:US_CA:the-chosen:2024-02-02,The Chosen,2024-02-02,2024-02-04,unmatched,normalized_exact,No movie title matched,1,Box Office Predictions: Argylle set for a mid-teens debut (on a $200 million budget),https://www.joblo.com/box-office-predictions-argylle-set-for-a-mid-teens-debut-on-a-200-million-budget/,data/raw/joblo/d403ebd9872f2ea660f2fd7bdbcd74f95772d54e57caf0dcf5b901f85c9e5ac8.html,The Chosen: $7 million
colon_list_row_or_real_list_title,joblo:US_CA:demon-slayer:2024-02-23,Demon Slayer,2024-02-23,2024-02-25,unmatched,normalized_exact,No movie title matched,1,"Weekend Box Office Predictions: Bob Marley to stay on top, but will Madame Web collapse?",https://www.joblo.com/bob-marley-to-stay-on-top/,data/raw/joblo/06bf98f3ffdf95357f6148c892ca576283d024efe5529fd773e156d8e87c2449.html,2. Demon Slayer: $9.5 million
colon_list_row_or_real_list_title,joblo:US_CA:ordinary-angles:2024-03-01,Ordinary Angles,2024-03-01,2024-03-03,unmatched,normalized_exact,No movie title matched,1,Weekend Box Office Predictions: Dune 2 to double the original film's opening,https://www.joblo.com/weekend-box-office-predictions-dune-2-to-double-the-original-films-opening/,data/raw/joblo/6676a21ddf2240e7da623aedfd293968ccee1a8efd3d959d97f7b1a11111978b.html,Ordinary Angles: $4 million
colon_list_row_or_real_list_title,joblo:US_CA:spy-x-family-code:2024-04-19,Spy x Family Code,2024-04-19,2024-04-21,unmatched,normalized_exact,No movie title matched,1,Box Office Predictions: Radio Silence's Abigail could drain the life from The Ministry of Ungentlemanly Warfare,https://www.joblo.com/box-office-predictions-abigail-april-2024/,data/raw/joblo/df87c3777d97114ea1c21a00eef6041af682e0a83bf7130832de779851887288.html,Spy x Family Code: $6 million
colon_list_row_or_real_list_title,joblo:US_CA:ministry-of-ungentlemanly-warfare:2024-04-26,Ministry of Ungentlemanly Warfare,2024-04-26,2024-04-28,unmatched,normalized_exact,No movie title matched,1,Box Office Predictions: Zendaya to top the charts with Challengers,https://www.joblo.com/zendaya-to-top-the-charts-with-challengers/,data/raw/joblo/f44bc2a48a54fdd424ffa7b7d6c6b377baea84e6fd84f382d432fe697d5ed671.html,Ministry of Ungentlemanly Warfare: $3 million
colon_list_row_or_real_list_title,joblo:US_CA:the-garfield-move:2024-06-14,The Garfield Move,2024-06-14,2024-06-16,unmatched,normalized_exact,No movie title matched,1,Box Office Predictions: Will Inside Out 2 restore Pixar’s box office crown?,https://www.joblo.com/box-office-predictions-inside-out-2/,data/raw/joblo/20c7b861d9d1bb4777c5e85c0901275bf90ba8a9b0cd196bb9992ab9f4c4a71b.html,The Garfield Move: $6 million
colon_list_row_or_real_list_title,joblo:US_CA:horizon:2024-07-05,Horizon,2024-07-05,2024-07-07,unmatched,normalized_exact,No movie title matched,1,Box Office: Despicable Me 4 has the second biggest 4th of July of the franchise,https://www.joblo.com/box-office-fourth-of-july-update-predictions-despicable-me-4-off-to-a-big-start/,data/raw/joblo/1d97c364cb52e40e956dd81387de42ba5963a9e6d653e309aa3f412d53858656.html,Horizon: $5 million
colon_list_row_or_real_list_title,joblo:US_CA:best-christmas-pageant-ever:2024-11-15,Best Christmas Pageant Ever,2024-11-15,2024-11-17,unmatched,normalized_exact,No movie title matched,1,Box Office Predictions: Red One set for one of The Rock's lowest-grossing openings,https://www.joblo.com/box-office-predictions-red-one/,data/raw/joblo/2481485cb98f1117b8e8c5980211cab0000de8983b19f332e16e65f656a32b7a.html,Best Christmas Pageant Ever: $7million
colon_list_row_or_real_list_title,joblo:US_CA:best-christmas-pageant-ever:2024-12-06,Best Christmas Pageant Ever,2024-12-06,2024-12-08,unmatched,normalized_exact,No movie title matched,1,Box Office: Moana and Wicked both break Thanksgiving Day & Black Friday records,https://www.joblo.com/box-office-moana-takes-flight-and-our-predictions-on-the-second-glicked-weekend/,data/raw/joblo/e22547207c81790826905eb4b048214232ec1aef62c1fb8ba8c313b5b626f5a2.html,Best Christmas Pageant Ever: $4.5 million
colon_list_row_or_real_list_title,joblo:US_CA:gladiator-2:2024-12-06,Gladiator 2,2024-12-06,2024-12-08,unmatched,normalized_exact,No movie title matched,1,Box Office: Moana and Wicked both break Thanksgiving Day & Black Friday records,https://www.joblo.com/box-office-moana-takes-flight-and-our-predictions-on-the-second-glicked-weekend/,data/raw/joblo/e22547207c81790826905eb4b048214232ec1aef62c1fb8ba8c313b5b626f5a2.html,Gladiator 2: $27 million
